"Statistics name :","Prefectural Data Social Indicators by Prefecture"
"Table Number :","0000010204"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics D Administrative Base"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/D Administrative Base Code","#D0310401"
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/D Administrative Base","#D0310401_Percentage of social welfare expenditure (Prefecture)[%]"
"2013100000","2013","14000","Kanagawa-ken","","6.32"
"2013100000","2013","15000","Niigata-ken","","3.08"
"2013100000","2013","16000","Toyama-ken","","3.11"
"2013100000","2013","17000","Ishikawa-ken","","4.06"
"2013100000","2013","18000","Fukui-ken","","3.09"
"2013100000","2013","19000","Yamanashi-ken","","3.56"
"2013100000","2013","20000","Nagano-ken","","4.43"
"2013100000","2013","21000","Gifu-ken","","4.40"
"2013100000","2013","22000","Shizuoka-ken","","4.73"
"2013100000","2013","23000","Aichi-ken","","4.88"
"2013100000","2013","24000","Mie-ken","","4.66"
"2013100000","2013","25000","Shiga-ken","","4.47"
"2013100000","2013","26000","Kyoto-fu","","5.38"
"2013100000","2013","27000","Osaka-fu","","6.24"
"2013100000","2013","28000","Hyogo-ken","","4.32"
"2013100000","2013","29000","Nara-ken","","4.49"
"2013100000","2013","30000","Wakayama-ken","","3.76"
"2013100000","2013","31000","Tottori-ken","","3.78"
"2013100000","2013","32000","Shimane-ken","","2.96"
"2013100000","2013","33000","Okayama-ken","","4.08"
"2013100000","2013","34000","Hiroshima-ken","","4.99"
"2013100000","2013","35000","Yamaguchi-ken","","3.73"
"2013100000","2013","36000","Tokushima-ken","","3.20"
"2013100000","2013","37000","Kagawa-ken","","4.24"
"2013100000","2013","38000","Ehime-ken","","4.31"
"2013100000","2013","39000","Kochi-ken","","3.83"
"2013100000","2013","40000","Fukuoka-ken","","4.49"
"2013100000","2013","41000","Saga-ken","","4.51"
"2013100000","2013","42000","Nagasaki-ken","","4.66"
"2013100000","2013","43000","Kumamoto-ken","","4.27"
"2013100000","2013","44000","Oita-ken","","4.04"
"2013100000","2013","45000","Miyazaki-ken","","3.94"
"2013100000","2013","46000","Kagoshima-ken","","4.55"
"2013100000","2013","47000","Okinawa-ken","","5.83"
"2014100000","2014","00000","All Japan","","4.64"
"2014100000","2014","01000","Hokkaido","","4.79"
"2014100000","2014","02000","Aomori-ken","","4.55"
"2014100000","2014","03000","Iwate-ken","","2.91"
"2014100000","2014","04000","Miyagi-ken","","3.03"
"2014100000","2014","05000","Akita-ken","","3.88"
"2014100000","2014","06000","Yamagata-ken","","3.50"
"2014100000","2014","07000","Fukushima-ken","","1.94"
"2014100000","2014","08000","Ibaraki-ken","","4.78"
"2014100000","2014","09000","Tochigi-ken","","4.43"
"2014100000","2014","10000","Gumma-ken","","4.81"
"2014100000","2014","11000","Saitama-ken","","6.42"
"2014100000","2014","12000","Chiba-ken","","5.47"
"2014100000","2014","13000","Tokyo-to","","4.56"
"2014100000","2014","14000","Kanagawa-ken","","6.26"
"2014100000","2014","15000","Niigata-ken","","2.70"
"2014100000","2014","16000","Toyama-ken","","3.17"
"2014100000","2014","17000","Ishikawa-ken","","4.52"
"2014100000","2014","18000","Fukui-ken","","3.55"
"2014100000","2014","19000","Yamanashi-ken","","3.66"
"2014100000","2014","20000","Nagano-ken","","4.60"
"2014100000","2014","21000","Gifu-ken","","5.32"
"2014100000","2014","22000","Shizuoka-ken","","5.01"
"2014100000","2014","23000","Aichi-ken","","5.02"
"2014100000","2014","24000","Mie-ken","","4.93"
"2014100000","2014","25000","Shiga-ken","","4.90"
"2014100000","2014","26000","Kyoto-fu","","5.57"
"2014100000","2014","27000","Osaka-fu","","6.41"
"2014100000","2014","28000","Hyogo-ken","","4.56"
"2014100000","2014","29000","Nara-ken","","4.86"
"2014100000","2014","30000","Wakayama-ken","","4.19"
"2014100000","2014","31000","Tottori-ken","","4.05"
"2014100000","2014","32000","Shimane-ken","","3.17"
"2014100000","2014","33000","Okayama-ken","","4.42"
"2014100000","2014","34000","Hiroshima-ken","","5.41"
"2014100000","2014","35000","Yamaguchi-ken","","3.91"
"2014100000","2014","36000","Tokushima-ken","","3.34"
"2014100000","2014","37000","Kagawa-ken","","4.44"
"2014100000","2014","38000","Ehime-ken","","4.64"
"2014100000","2014","39000","Kochi-ken","","4.14"
"2014100000","2014","40000","Fukuoka-ken","","4.55"
"2014100000","2014","41000","Saga-ken","","4.73"
"2014100000","2014","42000","Nagasaki-ken","","5.13"
"2014100000","2014","43000","Kumamoto-ken","","4.76"
"2014100000","2014","44000","Oita-ken","","4.43"
"2014100000","2014","45000","Miyazaki-ken","","4.37"
"2014100000","2014","46000","Kagoshima-ken","","4.97"
"2014100000","2014","47000","Okinawa-ken","","6.21"
"2015100000","2015","00000","All Japan","","4.96"
"2015100000","2015","01000","Hokkaido","","4.87"
"2015100000","2015","02000","Aomori-ken","","4.73"
"2015100000","2015","03000","Iwate-ken","","2.71"
"2015100000","2015","04000","Miyagi-ken","","3.15"
"2015100000","2015","05000","Akita-ken","","4.32"
"2015100000","2015","06000","Yamagata-ken","","3.61"
"2015100000","2015","07000","Fukushima-ken","","2.25"
"2015100000","2015","08000","Ibaraki-ken","","5.40"
"2015100000","2015","09000","Tochigi-ken","","4.72"
"2015100000","2015","10000","Gumma-ken","","4.80"
"2015100000","2015","11000","Saitama-ken","","6.66"
"2015100000","2015","12000","Chiba-ken","","5.69"
"2015100000","2015","13000","Tokyo-to","","5.32"
"2015100000","2015","14000","Kanagawa-ken","","7.37"
"2015100000","2015","15000","Niigata-ken","","3.58"
"2015100000","2015","16000","Toyama-ken","","3.54"
"2015100000","2015","17000","Ishikawa-ken","","4.37"
"2015100000","2015","18000","Fukui-ken","","3.71"
"2015100000","2015","19000","Yamanashi-ken","","3.79"
"2015100000","2015","20000","Nagano-ken","","4.83"
"2015100000","2015","21000","Gifu-ken","","4.91"
"2015100000","2015","22000","Shizuoka-ken","","4.99"
"2015100000","2015","23000","Aichi-ken","","5.72"
"2015100000","2015","24000","Mie-ken","","5.11"
"2015100000","2015","25000","Shiga-ken","","4.72"
"2015100000","2015","26000","Kyoto-fu","","5.75"
"2015100000","2015","27000","Osaka-fu","","6.13"
"2015100000","2015","28000","Hyogo-ken","","5.66"
"2015100000","2015","29000","Nara-ken","","4.85"
"2015100000","2015","30000","Wakayama-ken","","4.53"
"2015100000","2015","31000","Tottori-ken","","4.57"
"2015100000","2015","32000","Shimane-ken","","3.40"
"2015100000","2015","33000","Okayama-ken","","4.33"
"2015100000","2015","34000","Hiroshima-ken","","5.35"
"2015100000","2015","35000","Yamaguchi-ken","","4.13"
"2015100000","2015","36000","Tokushima-ken","","3.28"
"2015100000","2015","37000","Kagawa-ken","","4.58"
"2015100000","2015","38000","Ehime-ken","","4.85"
"2015100000","2015","39000","Kochi-ken","","4.20"
"2015100000","2015","40000","Fukuoka-ken","","4.62"
"2015100000","2015","41000","Saga-ken","","4.83"
"2015100000","2015","42000","Nagasaki-ken","","5.55"
"2015100000","2015","43000","Kumamoto-ken","","4.97"
"2015100000","2015","44000","Oita-ken","","4.80"
"2015100000","2015","45000","Miyazaki-ken","","3.76"
"2015100000","2015","46000","Kagoshima-ken","","5.04"
"2015100000","2015","47000","Okinawa-ken","","5.98"
"2016100000","2016","00000","All Japan","","5.32"
"2016100000","2016","01000","Hokkaido","","4.94"
"2016100000","2016","02000","Aomori-ken","","4.55"
"2016100000","2016","03000","Iwate-ken","","2.90"
"2016100000","2016","04000","Miyagi-ken","","3.27"
"2016100000","2016","05000","Akita-ken","","4.84"
"2016100000","2016","06000","Yamagata-ken","","3.63"
"2016100000","2016","07000","Fukushima-ken","","1.85"
"2016100000","2016","08000","Ibaraki-ken","","5.91"
"2016100000","2016","09000","Tochigi-ken","","4.96"
"2016100000","2016","10000","Gumma-ken","","5.13"
"2016100000","2016","11000","Saitama-ken","","6.62"
"2016100000","2016","12000","Chiba-ken","","5.82"
"2016100000","2016","13000","Tokyo-to","","7.62"
"2016100000","2016","14000","Kanagawa-ken","","6.95"
"2016100000","2016","15000","Niigata-ken","","3.82"
"2016100000","2016","16000","Toyama-ken","","3.57"
"2016100000","2016","17000","Ishikawa-ken","","4.08"
"2016100000","2016","18000","Fukui-ken","","3.60"
"2016100000","2016","19000","Yamanashi-ken","","3.98"
"2016100000","2016","20000","Nagano-ken","","5.08"
"2016100000","2016","21000","Gifu-ken","","5.43"
"2016100000","2016","22000","Shizuoka-ken","","5.17"
"2016100000","2016","23000","Aichi-ken","","5.54"
"2016100000","2016","24000","Mie-ken","","5.84"
"2016100000","2016","25000","Shiga-ken","","4.87"
"2016100000","2016","26000","Kyoto-fu","","6.06"
"2016100000","2016","27000","Osaka-fu","","6.64"
"2016100000","2016","28000","Hyogo-ken","","5.28"
"2016100000","2016","29000","Nara-ken","","5.09"
"2016100000","2016","30000","Wakayama-ken","","4.60"
"2016100000","2016","31000","Tottori-ken","","4.01"
"2016100000","2016","32000","Shimane-ken","","3.56"
"2016100000","2016","33000","Okayama-ken","","4.82"
"2016100000","2016","34000","Hiroshima-ken","","5.70"
"2016100000","2016","35000","Yamaguchi-ken","","4.24"
"2016100000","2016","36000","Tokushima-ken","","3.31"
"2016100000","2016","37000","Kagawa-ken","","4.50"
"2016100000","2016","38000","Ehime-ken","","4.97"
"2016100000","2016","39000","Kochi-ken","","4.22"
"2016100000","2016","40000","Fukuoka-ken","","4.69"
"2016100000","2016","41000","Saga-ken","","4.53"
"2016100000","2016","42000","Nagasaki-ken","","5.14"
"2016100000","2016","43000","Kumamoto-ken","","3.90"
"2016100000","2016","44000","Oita-ken","","4.62"
"2016100000","2016","45000","Miyazaki-ken","","4.85"
"2016100000","2016","46000","Kagoshima-ken","","5.21"
"2016100000","2016","47000","Okinawa-ken","","5.85"
"2017100000","2017","00000","All Japan","","5.24"
"2017100000","2017","01000","Hokkaido","","5.30"
"2017100000","2017","02000","Aomori-ken","","4.72"
"2017100000","2017","03000","Iwate-ken","","2.90"
"2017100000","2017","04000","Miyagi-ken","","3.63"
"2017100000","2017","05000","Akita-ken","","4.66"
"2017100000","2017","06000","Yamagata-ken","","3.99"
"2017100000","2017","07000","Fukushima-ken","","2.60"
"2017100000","2017","08000","Ibaraki-ken","","5.92"
"2017100000","2017","09000","Tochigi-ken","","4.99"
"2017100000","2017","10000","Gumma-ken","","5.54"
"2017100000","2017","11000","Saitama-ken","","7.13"
"2017100000","2017","12000","Chiba-ken","","6.46"
"2017100000","2017","13000","Tokyo-to","","4.79"
"2017100000","2017","14000","Kanagawa-ken","","7.31"
"2017100000","2017","15000","Niigata-ken","","4.14"
"2017100000","2017","16000","Toyama-ken","","3.75"
"2017100000","2017","17000","Ishikawa-ken","","4.49"
"2017100000","2017","18000","Fukui-ken","","3.81"
"2017100000","2017","19000","Yamanashi-ken","","4.22"
"2017100000","2017","20000","Nagano-ken","","5.33"
"2017100000","2017","21000","Gifu-ken","","5.52"
"2017100000","2017","22000","Shizuoka-ken","","5.27"
"2017100000","2017","23000","Aichi-ken","","5.81"
"2017100000","2017","24000","Mie-ken","","5.44"
"2017100000","2017","25000","Shiga-ken","","5.18"
"2017100000","2017","26000","Kyoto-fu","","6.64"
"2017100000","2017","27000","Osaka-fu","","7.15"
"2017100000","2017","28000","Hyogo-ken","","5.68"
"2017100000","2017","29000","Nara-ken","","5.49"
"2017100000","2017","30000","Wakayama-ken","","4.84"
"2017100000","2017","31000","Tottori-ken","","4.04"
"2017100000","2017","32000","Shimane-ken","","3.53"
"2017100000","2017","33000","Okayama-ken","","5.20"
"2017100000","2017","34000","Hiroshima-ken","","5.83"
"2017100000","2017","35000","Yamaguchi-ken","","4.70"
"2017100000","2017","36000","Tokushima-ken","","3.57"
"2017100000","2017","37000","Kagawa-ken","","4.82"
"2017100000","2017","38000","Ehime-ken","","5.05"
"2017100000","2017","39000","Kochi-ken","","4.21"
"2017100000","2017","40000","Fukuoka-ken","","5.16"
"2017100000","2017","41000","Saga-ken","","5.37"
"2017100000","2017","42000","Nagasaki-ken","","5.29"
"2017100000","2017","43000","Kumamoto-ken","","4.24"
"2017100000","2017","44000","Oita-ken","","4.73"
"2017100000","2017","45000","Miyazaki-ken","","4.91"
"2017100000","2017","46000","Kagoshima-ken","","5.28"
"2017100000","2017","47000","Okinawa-ken","","6.45"
"2018100000","2018","00000","All Japan","","4.89"
"2018100000","2018","01000","Hokkaido","","4.95"
"2018100000","2018","02000","Aomori-ken","","4.62"
"2018100000","2018","03000","Iwate-ken","","2.94"
"2018100000","2018","04000","Miyagi-ken","","3.61"
"2018100000","2018","05000","Akita-ken","","4.35"
"2018100000","2018","06000","Yamagata-ken","","3.79"
"2018100000","2018","07000","Fukushima-ken","","2.69"
"2018100000","2018","08000","Ibaraki-ken","","5.52"
"2018100000","2018","09000","Tochigi-ken","","4.66"
"2018100000","2018","10000","Gumma-ken","","5.06"
"2018100000","2018","11000","Saitama-ken","","6.46"
"2018100000","2018","12000","Chiba-ken","","5.33"
"2018100000","2018","13000","Tokyo-to","","4.20"
"2018100000","2018","14000","Kanagawa-ken","","7.18"
"2018100000","2018","15000","Niigata-ken","","3.73"
"2018100000","2018","16000","Toyama-ken","","3.38"
"2018100000","2018","17000","Ishikawa-ken","","4.17"
"2018100000","2018","18000","Fukui-ken","","3.67"
"2018100000","2018","19000","Yamanashi-ken","","3.77"
"2018100000","2018","20000","Nagano-ken","","5.19"
"2018100000","2018","21000","Gifu-ken","","5.12"
"2018100000","2018","22000","Shizuoka-ken","","4.87"
"2018100000","2018","23000","Aichi-ken","","5.50"
"2018100000","2018","24000","Mie-ken","","5.06"
"2018100000","2018","25000","Shiga-ken","","4.78"
"2018100000","2018","26000","Kyoto-fu","","6.28"
"2018100000","2018","27000","Osaka-fu","","6.99"
"2018100000","2018","28000","Hyogo-ken","","5.47"
"2018100000","2018","29000","Nara-ken","","5.10"
"2018100000","2018","30000","Wakayama-ken","","4.45"
"2018100000","2018","31000","Tottori-ken","","4.07"
"2018100000","2018","32000","Shimane-ken","","3.49"
"2018100000","2018","33000","Okayama-ken","","4.72"
"2018100000","2018","34000","Hiroshima-ken","","5.45"
"2018100000","2018","35000","Yamaguchi-ken","","4.24"
"2018100000","2018","36000","Tokushima-ken","","3.18"
"2018100000","2018","37000","Kagawa-ken","","4.49"
"2018100000","2018","38000","Ehime-ken","","4.69"
"2018100000","2018","39000","Kochi-ken","","4.18"
"2018100000","2018","40000","Fukuoka-ken","","4.79"
"2018100000","2018","41000","Saga-ken","","4.43"
"2018100000","2018","42000","Nagasaki-ken","","5.19"
"2018100000","2018","43000","Kumamoto-ken","","4.24"
"2018100000","2018","44000","Oita-ken","","4.50"
"2018100000","2018","45000","Miyazaki-ken","","4.55"
"2018100000","2018","46000","Kagoshima-ken","","5.08"
"2018100000","2018","47000","Okinawa-ken","","6.22"
"2019100000","2019","00000","All Japan","","5.14"
"2019100000","2019","01000","Hokkaido","","5.39"
"2019100000","2019","02000","Aomori-ken","","4.49"
"2019100000","2019","03000","Iwate-ken","","3.07"
"2019100000","2019","04000","Miyagi-ken","","3.88"
"2019100000","2019","05000","Akita-ken","","4.59"
"2019100000","2019","06000","Yamagata-ken","","3.55"
"2019100000","2019","07000","Fukushima-ken","","2.72"
"2019100000","2019","08000","Ibaraki-ken","","5.94"
"2019100000","2019","09000","Tochigi-ken","","4.82"
"2019100000","2019","10000","Gumma-ken","","5.03"
"2019100000","2019","11000","Saitama-ken","","6.48"
"2019100000","2019","12000","Chiba-ken","","5.65"
"2019100000","2019","13000","Tokyo-to","","4.97"
"2019100000","2019","14000","Kanagawa-ken","","7.07"
"2019100000","2019","15000","Niigata-ken","","3.70"
"2019100000","2019","16000","Toyama-ken","","3.50"
"2019100000","2019","17000","Ishikawa-ken","","4.21"
"2019100000","2019","18000","Fukui-ken","","3.72"
"2019100000","2019","19000","Yamanashi-ken","","3.80"
"2019100000","2019","20000","Nagano-ken","","5.53"
"2019100000","2019","21000","Gifu-ken","","5.01"
"2019100000","2019","22000","Shizuoka-ken","","4.87"
"2019100000","2019","23000","Aichi-ken","","5.41"
"2019100000","2019","24000","Mie-ken","","5.12"
"2019100000","2019","25000","Shiga-ken","","4.86"
"2019100000","2019","26000","Kyoto-fu","","6.19"
"2019100000","2019","27000","Osaka-fu","","7.46"
"2019100000","2019","28000","Hyogo-ken","","5.68"
"2019100000","2019","29000","Nara-ken","","5.15"
"2019100000","2019","30000","Wakayama-ken","","4.63"
"2019100000","2019","31000","Tottori-ken","","3.99"
"2019100000","2019","32000","Shimane-ken","","3.59"
"2019100000","2019","33000","Okayama-ken","","4.72"
"2019100000","2019","34000","Hiroshima-ken","","5.51"
"2019100000","2019","35000","Yamaguchi-ken","","4.27"
"2019100000","2019","36000","Tokushima-ken","","3.40"
"2019100000","2019","37000","Kagawa-ken","","4.72"
"2019100000","2019","38000","Ehime-ken","","4.86"
"2019100000","2019","39000","Kochi-ken","","4.09"
"2019100000","2019","40000","Fukuoka-ken","","5.86"
"2019100000","2019","41000","Saga-ken","","4.54"
"2019100000","2019","42000","Nagasaki-ken","","5.17"
"2019100000","2019","43000","Kumamoto-ken","","4.85"
"2019100000","2019","44000","Oita-ken","","4.48"
"2019100000","2019","45000","Miyazaki-ken","","4.65"
"2019100000","2019","46000","Kagoshima-ken","","5.13"
"2019100000","2019","47000","Okinawa-ken","","6.41"
"2020100000","2020","00000","All Japan","","6.02"
"2020100000","2020","01000","Hokkaido","","4.98"
"2020100000","2020","02000","Aomori-ken","","4.25"
"2020100000","2020","03000","Iwate-ken","","3.00"
"2020100000","2020","04000","Miyagi-ken","","4.35"
"2020100000","2020","05000","Akita-ken","","4.66"
"2020100000","2020","06000","Yamagata-ken","","3.51"
"2020100000","2020","07000","Fukushima-ken","","2.97"
"2020100000","2020","08000","Ibaraki-ken","","6.14"
"2020100000","2020","09000","Tochigi-ken","","5.20"
"2020100000","2020","10000","Gumma-ken","","5.51"
"2020100000","2020","11000","Saitama-ken","","8.38"
"2020100000","2020","12000","Chiba-ken","","6.14"
"2020100000","2020","13000","Tokyo-to","","6.65"
"2020100000","2020","14000","Kanagawa-ken","","8.50"
"2020100000","2020","15000","Niigata-ken","","3.34"
"2020100000","2020","16000","Toyama-ken","","3.47"
"2020100000","2020","17000","Ishikawa-ken","","5.09"
"2020100000","2020","18000","Fukui-ken","","3.60"
"2020100000","2020","19000","Yamanashi-ken","","4.31"
"2020100000","2020","20000","Nagano-ken","","4.58"
"2020100000","2020","21000","Gifu-ken","","4.94"
"2020100000","2020","22000","Shizuoka-ken","","5.41"
"2020100000","2020","23000","Aichi-ken","","6.29"
"2020100000","2020","24000","Mie-ken","","5.34"
"2020100000","2020","25000","Shiga-ken","","6.95"
"2020100000","2020","26000","Kyoto-fu","","7.75"
"2020100000","2020","27000","Osaka-fu","","9.05"
"2020100000","2020","28000","Hyogo-ken","","6.08"
"2020100000","2020","29000","Nara-ken","","5.88"
"2020100000","2020","30000","Wakayama-ken","","5.98"
"2020100000","2020","31000","Tottori-ken","","4.53"
"2020100000","2020","32000","Shimane-ken","","3.56"
"2020100000","2020","33000","Okayama-ken","","6.24"
"2020100000","2020","34000","Hiroshima-ken","","5.30"
"2020100000","2020","35000","Yamaguchi-ken","","4.05"
"2020100000","2020","36000","Tokushima-ken","","3.62"
"2020100000","2020","37000","Kagawa-ken","","4.92"
"2020100000","2020","38000","Ehime-ken","","6.10"
"2020100000","2020","39000","Kochi-ken","","5.52"
"2020100000","2020","40000","Fukuoka-ken","","7.64"
"2020100000","2020","41000","Saga-ken","","4.07"
"2020100000","2020","42000","Nagasaki-ken","","5.31"
"2020100000","2020","43000","Kumamoto-ken","","5.15"
"2020100000","2020","44000","Oita-ken","","5.92"
"2020100000","2020","45000","Miyazaki-ken","","5.59"
"2020100000","2020","46000","Kagoshima-ken","","5.80"
"2020100000","2020","47000","Okinawa-ken","","9.60"
